open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646092800000,43155.00,43790.00,43150.30,43548.70,24064.483,1646096399999,1044751996.36406,233310,12540.728,544576603.86962,0
1646096400000,43548.60,43615.30,43215.10,43254.10,12130.047,1646099999999,525968879.09647,130492,5373.979,233032787.12066,0
1646100000000,43254.10,43294.70,42954.00,43148.90,14401.448,1646103599999,620789542.11079,141956,6652.274,286767192.73001,0
1646103600000,43149.40,43190.00,42850.00,43140.80,9922.937,1646107199999,427003325.03221,112773,4936.450,212468791.55611,0
1646107200000,43140.90,43401.60,43062.20,43323.50,9700.152,1646110799999,419382948.10357,97333,5177.807,223881182.21233,0
1646110800000,43323.50,43379.40,43129.10,43196.00,6263.044,1646114399999,270722494.86413,76337,2708.788,117102593.28945,0
1646114400000,43198.00,43477.80,43023.20,43439.60,11378.309,1646117999999,492445348.42424,123962,6006.546,259999356.10972,0
1646118000000,43439.60,43555.00,43262.40,43471.70,9665.342,1646121599999,419710041.15480,113859,4656.902,202251104.91958,0
1646121600000,43471.70,43755.00,43280.00,43478.70,14614.504,1646125199999,635366792.59952,162590,7502.803,326287609.92474,0
1646125200000,43478.40,43481.30,43115.00,43253.10,11130.382,1646128799999,481910662.81810,130202,5117.762,221618948.52161,0
1646128800000,43253.00,43582.00,42765.40,43569.90,22570.400,1646132399999,975025508.66930,229376,11256.214,486538064.17010,0
1646132400000,43569.90,44000.00,43320.60,43599.90,25795.431,1646135999999,1124153109.79774,246953,13424.726,585251011.21720,0
1646136000000,43600.00,44697.90,43558.60,44609.60,51803.331,1646139599999,2292300407.02580,499212,27115.943,1199905264.75178,0
1646139600000,44609.10,44935.00,44381.30,44389.50,38250.191,1646143199999,1707062351.86859,375911,19256.693,859670041.98628,0
1646143200000,44389.60,44643.90,43647.80,43796.90,37329.946,1646146799999,1646989298.52510,364495,17748.757,783199775.77269,0
1646146800000,43797.00,44052.50,43324.80,43625.90,36202.475,1646150399999,1582125788.67648,351203,17557.408,767538937.04291,0
1646150400000,43626.00,44120.50,43202.10,43380.10,29232.420,1646153999999,1273329818.24805,287826,14613.045,636742967.53314,0
1646154000000,43380.20,43847.00,43241.10,43632.60,17604.534,1646157599999,766093834.24662,186424,9140.292,397828110.19496,0
